question,answer
Çiftçi Brown'un çiftliğinde ya tavuk ya da inek olan toplam 20 hayvanı var. Hepsi toplamda 70 bacak sahibi. Bu hayvanların kaç tanesi tavuk?,5
"Indras'ın adında 6 harf var. Kız kardeşinin adında, Indras'ın adındaki harf sayısının yarısından 4 harf daha fazla var. Indras ve kız kardeşinin adlarında toplam kaç harf var?",13
Shiela'nın 15 sayfalık bir araştırma makalesi teslim etmesi gerekiyor. Makalenin 1/3'ünü zaten bitirdi. Kaç sayfa yazması kaldı?,10
"John mavi kravatlardan iki kat fazla kırmızı kravat alır. Kırmızı kravatlar, mavi kravatlardan %50 daha pahalıdır. Her biri 40 dolar olan mavi kravatlara 200 dolar harcadı. Kravatlara toplam ne kadar harcadı?",800
"Wendy şu anda Colin'in yedi yıl sonra olacağı yaşın beş katı kadar yaşlıdır. Yirmi beş yıl sonra, Colin Wendy'nin şu anki yaşının üçte biri kadar yaşlı olacak. Colin şu anda kaç yaşında?",20
Teddy 500 parçalık bir yapbozun yarısını tamamladı ve ardından bir saat içinde başka bir 500 parçalık yapbozu başlayıp bitirdi. Teddy o bir saat içinde kaç yapboz parçası yerleştirdi?,750
"Bir sepetin içinde 1'i bozuk, %20'si olgunlaşmamış, 2'si ekşi ve geri kalanı iyi durumda olan 25 portakal bulunmaktadır. Kaç portakal iyidir?",17
"Nick, Richard, Jason ve DJ'nin her birinin paintball tüfekleri var. DJ'nin 8 tüfeği, Nick'in 10 tüfeği, RJ'nin 1 tüfeği ve Richard'ın 5 tüfeği var. Eğer tüfeklerini eşit olarak paylaşırlarsa, her birinin kaç tüfeği olur?",6
"İki tren bir istasyondan zıt yönlere hareket ederse ve bir tren saatte 60 mil hızla giderken diğeri saatte bu mesafenin yarısı kadar hızla gidiyorsa, 3 saat sonra birbirlerinden ne kadar uzak olurlar?",270
"Diane bir sayı trenine başlangıç değeri olarak 20 verdi. Bu başlangıç değeri ile sayının yarısı toplandı, 5'e bölündü ve sonuç değer başlangıç değerinin 12 eksiği ile çarpıldı. Sayı treninin son değeri neydi?",48
"John hızlı konuşma gibi tuhaf bir hobi edinmeye karar verir. Normal konuşma hızı dakikada 150 kelime. Antrenmandan sonra hızı başlangıç hızının 2,5 katı daha hızlıdır. Her sayfada 450 kelime varsa 10 sayfayı konuşması ne kadar sürer?",12
"Becky her biri 45 sentten 20 elma aldı ve 1 dolar indirim aldı. Kelly her biri 50 sentten 20 elma aldı ve %10 indirim aldı. Kelly, Becky'den ne kadar fazla ödedi?",1
"Ruiz iki saatte 120 pound çikolata yapabilir. Marissa, Ruiz'in iki saatte yaptığı miktarın 3/4'ü kadarını bir saatte yapmaktadır. Eğer bir gün 12 saat çalışırlarsa, birlikte yaptıkları toplam çikolata miktarını hesaplayın.",1800
"Jonathan, James'in 80 oyuncaklı oyun setinden beş kat daha büyük bir sıralı oyun seti yapmak için zaten sahip olduğundan 2 oyuncak daha fazlasına ihtiyaç duyduğunu öğrenince üzüldü. Jonathan'ın şu anda kaç oyuncakı var?",398
Pazartesi günü 2 inç yağmur yağdı ve Salı günü Pazartesi günkünün toplamının iki katından 1 inç daha fazla yağması bekleniyor. Salı günü kaç inç yağmur yağacak?,5
James'ın 30 dişi var. Diş hekimi bunların 4 tanesini deler ve delinenlerden 7 fazla dişe kaplama yapar. Diş hekimi James'ın dişlerinin yüzde kaçını tamir eder?,50
"Katarina'nın Max'in sahip olduğundan 5 daha az kurabiyesi var. Max'in Kurabiye Canavarı'ndan 12 daha fazla kurabiyesi var ve Summer'ın Max'ten 23 daha fazla kurabiyesi var. Eğer Katarina'nın 68 kurabiyesi varsa, toplamda kaç kurabiyeleri var?",298
"Bir inşaat işçisi her ay 4 hafta ve her hafta 6 gün çalışır. Eğer her gün 50 dolar kazanıyorsa, bir yıl boyunca çalışırsa ne kadar kazanır?",14400
Paskalya yumurtası avı ekibi 100 yumurta sakladı. Smith ikizler her biri 30'ar yumurta buldu. Geri kalan yumurtaların 10 tanesi dışındakileri arkadaşları buldu. Arkadaşlar kaç yumurta buldu?,30
"Dolly'nin iki kitabı var. Pandora'nın bir tane. Eğer Dolly ve Pandora kendi kitaplarının yanı sıra birbirlerinin kitaplarını da okurlarsa, sonunda toplam kaç kitap okumuş olacaklar?",6
